"","borough","neighborhood","building class category","tax class at present","block","lot","ease-ment","building class at present","address","apartment number","zip code","residential units","commercial units","total units","land square feet","gross square feet","year built","tax class at time of sale","building class at time of sale","sale price","sale date","sale.price.n","land.sqft","year.built","outliers"
"39",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6361,11," ","A5","71 BAY 10TH   STREET                     ","            ",11228,1,0,1,2900,1660,1930,1,"A5",829000,2016-04-05,829000,2900,1930,0
"40",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6364,72," ","A5","68 BAY 14TH STREET                       ","            ",11214,1,0,1,1950,972,1950,1,"A5",790000,2016-06-21,790000,1950,1950,0
"41",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6371,79," ","A5","8668 19TH AVENUE                         ","            ",11214,1,0,1,2223,2520,1930,1,"A5",788000,2016-03-31,788000,2223,1930,0
"42",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6374,67," ","S1","8642 20TH AVENUE                         ","            ",11214,1,1,2,1740,3240,1925,1,"S1",1090000,2016-10-24,1090000,1740,1925,0
"44",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6394,5," ","A5","160 BAY 10TH STREET                      ","            ",11228,1,0,1,2469,1836,1940,1,"A5",920000,2016-02-04,920000,2469,1940,0
"47",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6401,18," ","A5","8739 BAY 16TH STREET                     ","            ",11214,1,0,1,2417,1462,1925,1,"A5",839000,2016-07-11,839000,2417,1925,0
"48",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6401,19," ","A5","8733 BAY 16TH   STREET                   ","            ",11214,1,0,1,2417,2244,1925,1,"A5",854000,2016-02-10,854000,2417,1925,0
"50",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6402,31," ","A1","8716 18TH   AVENUE                       ","            ",11214,1,0,1,2743,2756,1924,1,"A1",750000,2016-07-25,750000,2743,1924,0
"51",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6409,36," ","A9","96 BAY 25TH STREET                       ","            ",11214,1,0,1,1440,1281,1915,1,"A9",699000,2016-02-23,699000,1440,1915,0
"52",3,"BATH BEACH               ","01  ONE FAMILY DWELLINGS                    ","1.000000",6414,36," ","A1","91 BAY 29TH STREET                       ","            ",11214,1,0,1,3867,2739,1910,1,"A1",950000,2016-09-23,950000,3867,1910,0
